Skill:,Fishing,,Total XP gained:,4872770
#1,Rounder,14382143,15886314,1504171
#2,ThedUIM,3679943,4913286,1233343
#3,VomitValcano,1835443,2557280,721837
#4,Dihl,12481749,13034474,552725
#5,Spets,3739113,3946273,207160
#6,Slique,4077355,4251641,174286
#7,Druknr,2616206,2771486,155280
#8,Tetsu_Nurtaw,4575780,4672960,97180
#9,Perpetuitate,3197730,3286930,89200
#10,Swemf,1815762,1900812,85050
#11,L3opoldstoch,3384472,3418167,33695
#12,Mrh4mm3r,1590589,1601589,11000
#13,Lolland,1337342,1343262,5920
#14,Just_Haarp,902294,903214,920
#15,Virgin_Barry,560161,560691,530
#16,1iron_Reborn,8613677,8614138,461
#17,Pug_Soup,258028,258038,10
#18,Sabin_08,3610413,3610415,2
