Skill:,TotalXP,,Total XP gained:,132741345
#1,Rounder,101550143,113980711,12430568
#2,Desabled,211817609,219371539,7553930
#3,Druknr,102757168,109785650,7028482
#4,Slique,124960293,131943273,6982980
#5,Lucky_Lucid,38879526,45791551,6912025
#6,Grazyiron,59748410,66267635,6519225
#7,Sobrietity,26911056,32569321,5658265
#8,N64DD,13421833,18775708,5353875
#9,7_7_3_4,103164684,108222814,5058130
#10,Master_Beast,172033136,177056458,5023322
#11,Iron_Smorc,69963732,74674982,4711250
#12,Aviron_nz,90353139,94531236,4178097
#13,Outs,95460971,99278731,3817760
#14,Getlowcelot3,65176759,68934471,3757712
#15,Kusirusina,44013637,47613467,3599830
#16,Ironodum,432083889,435366629,3282740
#17,L3opoldstoch,29516822,32645555,3128733
#18,1iron_Reborn,316836794,319827858,2991064
#19,Kyopeli,29859304,32584379,2725075
#20,Sabin_08,36816335,39517519,2701184
#21,Iron_Nimmi,129185873,131778625,2592752
#22,Hovmeizter,318127532,320348272,2220740
#23,Karc,218174844,220354958,2180114
#24,Onkie_donk,39364308,41487714,2123406
#25,Mr_No_Lift,314774730,316666345,1891615
#26,Thedyolf,87450182,89333804,1883622
#27,ThedUIM,14704775,16458009,1753234
#28,Iron_Keagan,110117848,111650399,1532551
#29,Boy_Jakeob,26970230,28491781,1521551
#30,236P,17206637,18591195,1384558
#31,Juicy_Orphan,80986831,82102157,1115326
#32,Dihl,81504561,82554843,1050282
#33,Just_Haarp,93927915,94952592,1024677
#34,Spartin028,86079944,87057371,977427
#35,Solo_deejay,13257068,14193275,936207
#36,Mrh4mm3r,78823277,79527428,704151
#37,Virgin_Barry,12577950,13184792,606842
#38,DAMNITrone,10729583,11242498,512915
#39,Goneau,7162711,7669014,506303
#40,Larry_0g,167325781,167828897,503116
#41,Ir0nman_J0sh,41310568,41755691,445123
#42,Iron_Mikx,60592198,61024725,432527
#43,Whats_Da_Ge,251754529,252129078,374549
#44,Jhb,372510093,372853784,343691
#45,Whats_A_Ge,14234658,14526308,291650
#46,Lolland,54997775,55146204,148429
#47,Lamfear,168234943,168350259,115316
#48,Imcairnsy,58447819,58542739,94920
#49,SlackyQQ,89607351,89665347,57996
#50,Fe_Boney_B,94526389,94527849,1460
#51,Young_X,17568586,17568634,48
